CustomerID,Frequency,Monetary,LastPurchaseDate,Recency,R_score,F_score,M_score,RFM_Score,CustomerSegment
12346.0,1,77183.6,2011-01-18 10:01:00,325,1,1,4,6,At Risk Customer
12347.0,7,4310.0,2011-12-07 15:52:00,1,4,4,4,12,VIP Customer
12348.0,4,1797.24,2011-09-25 13:13:00,74,2,3,4,9,Loyal Customer
12349.0,1,1757.55,2011-11-21 09:51:00,18,3,1,4,8,Loyal Customer
12350.0,1,334.4,2011-02-02 16:01:00,309,1,1,2,4,Lost Customer
12352.0,8,2506.04,2011-11-03 14:37:00,35,3,4,4,11,VIP Customer
12353.0,1,89.0,2011-05-19 17:47:00,203,1,1,1,3,Lost Customer
12354.0,1,1079.4,2011-04-21 13:11:00,231,1,1,3,5,At Risk Customer
12355.0,1,459.4,2011-05-09 13:49:00,213,1,1,2,4,Lost Customer
12356.0,3,2811.43,2011-11-17 08:40:00,22,3,3,4,10,VIP Customer
12357.0,1,6207.67,2011-11-06 16:07:00,32,3,1,4,8,Loyal Customer
12358.0,2,1168.06,2011-12-08 10:26:00,1,4,2,3,9,Loyal Customer
12359.0,4,6310.03,2011-10-13 12:47:00,57,2,3,4,9,Loyal Customer
12360.0,3,2662.06,2011-10-18 15:22:00,51,2,3,4,9,Loyal Customer
12361.0,1,189.9,2011-02-25 13:51:00,286,1,1,1,3,Lost Customer
12362.0,10,5226.23,2011-12-06 15:40:00,2,4,4,4,12,VIP Customer
12363.0,2,552.0,2011-08-22 10:18:00,109,2,2,2,6,At Risk Customer
12364.0,4,1313.1,2011-12-02 10:22:00,7,4,3,3,10,VIP Customer
12365.0,2,641.38,2011-02-21 14:04:00,290,1,2,2,5,At Risk Customer
12367.0,1,168.9,2011-12-05 16:48:00,3,4,1,1,6,At Risk Customer
12370.0,4,3541.94,2011-10-19 14:51:00,50,3,3,4,10,VIP Customer
12371.0,2,1887.96,2011-10-26 10:16:00,44,3,2,4,9,Loyal Customer
12372.0,3,1298.04,2011-09-29 12:12:00,71,2,3,3,8,Loyal Customer
12373.0,1,364.6,2011-02-01 13:10:00,310,1,1,2,4,Lost Customer
12374.0,1,742.9300000000001,2011-11-14 15:37:00,24,3,1,3,7,Loyal Customer
12375.0,2,457.5,2011-11-29 10:36:00,10,4,2,2,8,Loyal Customer
12377.0,2,1628.12,2011-01-28 15:45:00,314,1,2,3,6,At Risk Customer
12378.0,1,4008.62,2011-08-02 10:34:00,129,2,1,4,7,Loyal Customer
12379.0,2,852.24,2011-09-19 10:09:00,81,2,2,3,7,Loyal Customer
12380.0,4,2724.81,2011-11-18 11:27:00,21,3,3,4,10,VIP Customer
12381.0,5,1845.31,2011-12-05 12:44:00,4,4,3,4,11,VIP Customer
12383.0,5,1850.56,2011-06-08 08:02:00,184,1,3,4,8,Loyal Customer
12384.0,2,585.27,2011-11-11 08:39:00,28,3,2,2,7,Loyal Customer
12386.0,2,401.9,2011-01-06 12:37:00,337,1,2,2,5,At Risk Customer
12388.0,6,2780.66,2011-11-24 12:30:00,15,4,4,4,12,VIP Customer
12390.0,1,549.84,2011-09-21 09:33:00,79,2,1,2,5,At Risk Customer
12391.0,1,439.66,2011-11-18 12:07:00,21,3,1,2,6,At Risk Customer
12393.0,4,1582.6000000000001,2011-09-28 15:41:00,71,2,3,3,8,Loyal Customer
12394.0,2,1272.48,2011-10-07 08:08:00,63,2,2,3,7,Loyal Customer
12395.0,12,3018.63,2011-11-20 15:21:00,18,3,4,4,11,VIP Customer
12397.0,2,2409.9,2011-11-04 09:52:00,35,3,2,4,9,Loyal Customer
12398.0,1,1635.6599999999999,2011-10-25 10:27:00,45,3,1,3,7,Loyal Customer
12399.0,4,1108.65,2011-08-12 13:15:00,118,2,3,3,8,Loyal Customer
12401.0,1,84.3,2011-02-09 13:50:00,302,1,1,1,3,Lost Customer
12402.0,1,225.6,2011-01-20 13:49:00,322,1,1,1,3,Lost Customer
12403.0,1,427.7,2011-10-21 10:51:00,49,3,1,2,6,At Risk Customer
12405.0,1,1710.39,2011-07-14 08:52:00,148,1,1,4,6,At Risk Customer
12406.0,2,3415.3,2011-11-17 19:22:00,21,3,2,4,9,Loyal Customer
12407.0,5,1708.1200000000001,2011-10-21 10:11:00,49,3,3,4,10,VIP Customer
12408.0,5,2888.55,2011-11-07 12:27:00,32,3,3,4,10,VIP Customer
12409.0,3,11072.67,2011-09-22 10:38:00,78,2,3,4,9,Loyal Customer
12410.0,2,693.3299999999999,2011-02-04 10:39:00,308,1,2,3,6,At Risk Customer
12412.0,3,1226.88,2011-09-26 10:16:00,74,2,3,3,8,Loyal Customer
12413.0,3,758.1,2011-10-04 09:00:00,66,2,3,3,8,Loyal Customer
12414.0,3,562.41,2011-05-06 14:51:00,216,1,3,2,6,At Risk Customer
12415.0,21,124914.53,2011-11-15 14:22:00,23,3,4,4,11,VIP Customer
12417.0,9,3649.1,2011-12-06 14:52:00,2,4,4,4,12,VIP Customer
12418.0,1,668.58,2011-08-19 11:08:00,112,2,1,3,6,At Risk Customer
12420.0,1,600.39,2011-10-07 08:55:00,63,2,1,2,5,At Risk Customer
12421.0,4,807.04,2011-11-24 09:07:00,15,4,3,3,10,VIP Customer
12422.0,3,803.5600000000001,2011-09-05 09:48:00,95,2,3,3,8,Loyal Customer
12423.0,8,1859.31,2011-12-09 10:10:00,0,4,4,4,12,VIP Customer
12424.0,2,1760.96,2011-06-30 12:06:00,162,1,2,4,7,Loyal Customer
12425.0,1,777.2,2011-09-22 17:31:00,77,2,1,3,6,At Risk Customer
12426.0,1,582.73,2011-05-29 12:26:00,194,1,1,2,4,Lost Customer
12427.0,3,825.8,2011-11-18 08:56:00,21,3,3,3,9,Loyal Customer
12428.0,9,7956.46,2011-11-14 08:22:00,25,3,4,4,11,VIP Customer
12429.0,4,3750.4,2011-11-30 17:22:00,8,4,3,4,11,VIP Customer
12430.0,1,256.4,2011-10-27 15:09:00,42,3,1,1,5,At Risk Customer
12431.0,15,6419.95,2011-11-04 11:55:00,35,3,4,4,11,VIP Customer
12432.0,5,5059.32,2011-10-28 11:43:00,42,3,3,4,10,VIP Customer
12433.0,7,13375.87,2011-12-09 10:02:00,0,4,4,4,12,VIP Customer
12434.0,2,806.14,2011-09-16 12:38:00,84,2,2,3,7,Loyal Customer
12435.0,2,7829.89,2011-09-21 09:06:00,79,2,2,4,8,Loyal Customer
12436.0,1,509.01,2011-09-01 12:09:00,99,2,1,2,5,At Risk Customer
12437.0,18,4951.41,2011-12-08 11:35:00,1,4,4,4,12,VIP Customer
12438.0,2,2906.85,2011-11-25 13:28:00,13,4,2,4,10,VIP Customer
12441.0,1,173.55,2010-12-08 10:45:00,366,1,1,1,3,Lost Customer
12442.0,1,172.06,2011-12-06 14:22:00,2,4,1,1,6,At Risk Customer
12444.0,5,5005.46,2011-11-18 13:23:00,20,3,3,4,10,VIP Customer
