StockCode,Description,UnitPrice
10002,INFLATABLE POLITICAL GLOBE ,0.85
10080,GROOVY CACTUS INFLATABLE,0.41190476190476194
10120,DOGGY RUBBER,0.21
10125,MINI FUNKY DESIGN TAPES,0.7817460317460317
10133,COLOURING PENCILS BROWN TUBE,0.5292622950819672
10135,COLOURING PENCILS BROWN TUBE,1.1968067226890755
11001,ASSTD DESIGN RACING CAR PEN,1.851875
15030,FAN BLACK FRAME ,0.29
15034,PAPER POCKET TRAVELING FAN ,0.13692307692307693
15036,ASSORTED COLOURS SILK FAN,0.8050153846153846
15039,SANDALWOOD FAN,0.8362857142857143
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.13614285714285712
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12
16011,ANIMAL STICKERS,0.21
16012,FOOD/DRINK SPONGE STICKERS,0.21
16014,SMALL CHINESE STYLE SCISSOR,0.4014814814814815
16015,MEDIUM CHINESE STYLE SCISSOR,0.48833333333333334
16016,LARGE CHINESE STYLE SCISSOR,0.8460000000000001
16033,MINI HIGHLIGHTER PENS,0.12
16043,POP ART PUSH DOWN RUBBER ,0.12
16045,POPART WOODEN PENCILS ASST,0.043478260869565216
16046,TEATIME PEN CASE & PENS,0.85
16048,TEATIME ROUND PENCIL SHARPENER ,0.13249999999999998
16049,TEATIME GEL PENS ASST,0.24
16052,TEATIME PUSH DOWN RUBBER,0.305
16054,POPART RECT PENCIL SHARPENER ASST,0.1290909090909091
16216,LETTER SHAPE PENCIL SHARPENER,0.09463414634146342
16218,CARTOON  PENCIL SHARPENERS,0.0732
16219,HOUSE SHAPE PENCIL SHARPENER,0.09085106382978722
16225,RATTLE SNAKE EGGS,1.1866666666666668
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.21400000000000002
16236,KITTY PENCIL ERASERS,0.20931506849315068
16237,SLEEPING CAT ERASERS,0.2060843373493976
16238,PARTY TIME PENCIL ERASERS,0.2362820512820513
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.0233333333333332
16259,PIECE OF CAMO STATIONERY SET,0.0967741935483871
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29
17003,BROCADE RING PURSE ,0.3202403846153846
17021,NAMASTE SWAGAT INCENSE,0.29411764705882354
17038,PORCELAIN BUDAH INCENSE HOLDER,0.09526315789473684
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.20076923076923076
17174,ASSTD RASTA KEY-CHAINS,0.42
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.16666666666666666
20615,BLUE POLKADOT PASSPORT COVER,1.4831428571428573
20616,CHERRY BLOSSOM PASSPORT COVER,1.3172
20617,FIRST CLASS PASSPORT COVER ,2.224615384615385
20618,QUEEN OF THE SKIES PASSPORT COVER ,2.0707142857142857
20619,TROPICAL PASSPORT COVER ,2.309090909090909
20622,VIPPASSPORT COVER ,1.99
20652,BLUE POLKADOT LUGGAGE TAG ,1.4333333333333333
20653,CHERRY BLOSSOM LUGGAGE TAG,1.6533333333333333
20654,FIRST CLASS LUGGAGE TAG ,1.2341666666666666
20655,QUEEN OF SKIES LUGGAGE TAG,1.31
20657,TROPICAL LUGGAGE TAG,1.3513636363636363
20658,RED RETROSPOT LUGGAGE TAG,1.25
20659,ECONOMY LUGGAGE TAG,1.5499999999999998
20661,BLUE POLKADOT PURSE ,4.654
20662,FIRST CLASS HOLIDAY PURSE ,4.086
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3.896666666666667
20664,TROPICAL HOLIDAY PURSE ,2.9500000000000006
20665,RED RETROSPOT PURSE ,2.944520547945206
