ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-31,477482.1575050758,349933.8350576305,606034.601615653,477482.1575050758,477482.1575050758,0.0,0.0,0.0,0.0,0.0,0.0,477482.1575050758
2011-01-31,509535.570861586,380550.59569331526,634857.1426141957,509535.570861586,509535.570861586,0.0,0.0,0.0,0.0,0.0,0.0,509535.570861586
2011-02-28,538487.0408025712,421355.3244339481,655000.4325750389,538487.0408025712,538487.0408025712,0.0,0.0,0.0,0.0,0.0,0.0,538487.0408025712
2011-03-31,570540.4546628878,455398.4060645968,696968.4734048313,570540.4546628878,570540.4546628878,0.0,0.0,0.0,0.0,0.0,0.0,570540.4546628878
2011-04-30,601559.8874965833,472281.8875075418,721912.8212155731,601559.8874965833,601559.8874965833,0.0,0.0,0.0,0.0,0.0,0.0,601559.8874965833
2011-05-31,633613.3011900819,505828.0692848063,763641.004580061,633613.3011900819,633613.3011900819,0.0,0.0,0.0,0.0,0.0,0.0,633613.3011900819
2011-06-30,664632.7342960485,545879.7321599455,791622.7016659204,664632.7342960485,664632.7342960485,0.0,0.0,0.0,0.0,0.0,0.0,664632.7342960485
2011-07-31,696686.1482326455,566530.8295210324,814490.770363376,696686.1482326455,696686.1482326455,0.0,0.0,0.0,0.0,0.0,0.0,696686.1482326455
2011-08-31,728739.5625480128,606476.5716996418,850174.8832027295,728739.5625480128,728739.5625480128,0.0,0.0,0.0,0.0,0.0,0.0,728739.5625480128
2011-09-30,759758.9957564328,640751.8056183384,885117.0826908874,759758.9957564328,759758.9957564328,0.0,0.0,0.0,0.0,0.0,0.0,759758.9957564328
2011-10-31,791812.4100718001,669685.5539095035,917616.1626611892,791812.4092370218,791812.4110111636,0.0,0.0,0.0,0.0,0.0,0.0,791812.4100718001
2011-11-30,822831.8432802202,698007.2285143178,937832.1827032183,822831.8405194071,822831.8462451512,0.0,0.0,0.0,0.0,0.0,0.0,822831.8432802202
2011-12-31,854885.2575955874,732603.1292346716,983996.7835145666,854885.2516737006,854885.2633990775,0.0,0.0,0.0,0.0,0.0,0.0,854885.2575955874
